feature_group,feature_count,recall_at_0_5,precision_at_0_5,f1_at_0_5,pr_auc
snapshot_plus_temporal,86,0.6087542087542087,0.7428101889893179,0.6691339748334567,0.7992748632305884
snapshot,50,0.5158249158249159,0.7599206349206349,0.6145206578419575,0.7621759728208941
original,26,0.5138047138047138,0.7414965986394558,0.6070007955449482,0.6934188579005509
