recall_rank,model,fit_seconds,train_recall,train_precision,train_f1,train_roc_auc,train_pr_auc,train_predicted_positive_pct,validation_recall,validation_precision,validation_f1,validation_roc_auc,validation_pr_auc,validation_predicted_positive_pct,recall_gap,roc_auc_gap,pr_auc_gap
1,XGBoost,1.6393595410045236,1.0,1.0,1.0,1.0,1.0,1.6022099447513811,0.6964725184577523,0.8116634799235182,0.7496688741721854,0.9918357477575556,0.8707330216207384,4.8696461824953445,0.30352748154224773,0.008164252242444436,0.1292669783792616
2,Artificial Neural Network,3.5640740000089863,1.0,0.745088161209068,0.8539260969976905,0.9995884666415943,0.9692872544137641,2.1503629075939767,0.5373256767842494,0.8517555266579974,0.6589537223340041,0.7160648289615432,0.6223066291086456,3.5800744878957165,0.46267432321575064,0.28352363768005107,0.3469806253051184
3,Gradient Boosting,129.62593654199736,1.0,0.7755637126376508,0.8735971647962197,0.9997303613486203,0.9819888107821284,2.0658650200411657,0.5307629204265791,0.6927194860813705,0.6010218300046447,0.7430127889289236,0.5899307703192226,4.348230912476723,0.46923707957342087,0.2567175724196966,0.3920580404629058
4,Decision Tree,1.772602334007388,1.0,1.0,1.0,1.0,1.0,1.6022099447513811,0.21164889253486463,0.8164556962025317,0.33615635179153097,0.6043931250098438,0.2175412362700384,1.4711359404096835,0.7883511074651354,0.39560687499015623,0.7824587637299616
5,Random Forest,3.8013036660122452,1.0,0.9641460234680573,0.9817457683372054,1.0,1.0,1.6617917885386198,0.16406890894175555,0.9090909090909091,0.27797081306462823,0.9902052821022005,0.8186708278442069,1.0242085661080074,0.8359310910582445,0.00979471789779951,0.18132917215579314
