model,class,precision,recall,f1-score,support
XGBoost,normal,0.9906774723237459,0.954868024710267,0.9724431965891956,19587.0
XGBoost,failure,0.5968992248062015,0.8814814814814815,0.711799891245242,1485.0
Random Forest,normal,0.9901021375171106,0.9601266145913105,0.9748840102641196,19587.0
Random Forest,failure,0.624157844080847,0.8734006734006734,0.728038170081392,1485.0
Neural Network: 128_64_adam,normal,0.9881449323760227,0.9064175218257007,0.945518453427065,19587.0
Neural Network: 128_64_adam,failure,0.4096618357487923,0.8565656565656565,0.5542483660130719,1485.0
